rank,feature,importance
1,temperature_rolling_mean,0.15860783154836358
2,power_rolling_mean,0.12312679916011353
3,voltage_rolling_mean,0.1188923135910531
4,current_rolling_mean,0.10200885556433235
5,temperature,0.08687142857958599
6,voltage,0.08098131422876519
7,current,0.06526576608501396
8,power,0.05711595541576227
9,voltage_rolling_std,0.029310545123376268
10,current_rolling_std,0.019283573905781618
11,power_rolling_std,0.01614084226521882
12,temperature_rolling_std,0.015521344272585412
13,voltage_deviation_pct,0.01398546601105974
14,voltage_deviation,0.013772353822020392
15,temperature_deviation_pct,0.01269743229629469
16,temperature_deviation,0.012098838921737657
17,voltage_change,0.011251445171467847
18,current_deviation_pct,0.009702796179510547
19,power_deviation_pct,0.00964355619307492
20,power_deviation,0.009428756183647538
21,current_deviation,0.009349605031413763
22,temperature_change,0.009147208365069538
23,current_change,0.008048510095703834
24,power_change,0.007747461989047501
