threshold,TN,FP,FN,TP,precision,recall,f1
0.1,1902,146,44,306,0.6769911504424779,0.8742857142857143,0.7630922693266833
0.15,1966,82,50,300,0.7853403141361257,0.8571428571428571,0.819672131147541
0.2,1997,51,56,294,0.8521739130434782,0.84,0.8460431654676259
0.25,2017,31,59,291,0.9037267080745341,0.8314285714285714,0.8660714285714286
0.3,2027,21,62,288,0.9320388349514563,0.8228571428571428,0.874051593323217
0.35,2033,15,63,287,0.9503311258278145,0.82,0.8803680981595092
0.4,2037,11,70,280,0.9621993127147767,0.8,0.8736349453978159
0.45,2040,8,72,278,0.972027972027972,0.7942857142857143,0.8742138364779874
0.5,2042,6,72,278,0.9788732394366197,0.7942857142857143,0.8769716088328076
0.55,2045,3,77,273,0.9891304347826086,0.78,0.8722044728434505
0.6,2046,2,82,268,0.9925925925925926,0.7657142857142857,0.864516129032258
0.65,2046,2,89,261,0.9923954372623575,0.7457142857142857,0.8515497553017944
0.7,2046,2,94,256,0.9922480620155039,0.7314285714285714,0.8421052631578947
0.75,2047,1,105,245,0.9959349593495935,0.7,0.8221476510067114
0.8,2047,1,121,229,0.9956521739130435,0.6542857142857142,0.7896551724137931
